product_id	comment_id	comment	sentiment	sentiment_category
1	0	bilerek   5   yıldız   veriyorum   yorumum   öne   çıkması   pişirme   kağıdından   4   paket   sipariş   vermeme   sadece   1   paket   gönderildi   kargo   poşetindeki   etikette   4   paket   yazıyor   rencide   görseldeki   kahverengi   değil   beyaz   satıcıdan   3   paketimizde   gönderilmesini   istedim   göre   iade   edeceğim	-0.875	0
1	1	güzel	0.4545454545454545	1
1	2	yıldızlara   aldanmayın   görünmesi   içindi   özellikle   sipariş   ederken   kontrol   ettim   kahverengi   yazıyor   beyaz   olarak   geldi   kağıdı   çok   ince   pakette   düzleşerek   geldi   kullan   at   olduğundan   iadeyle	0.1111111111111111	1
1	3	ürün   güzel   paketlenmiş   geldi   ankara   radon   sati'cisinden   satın   aldım   tek   iyi   paketleyen   sarı   olan   satıcıdan   de   sert   plastik   kutusu   geliyor   xiaomi   uyumlu   beğendim	0.6559343434343434	1
1	4	üstte   olan   yıldız   veriyorum   kare   istedim   yuvarlak   gelmiş   ufacık   şaka   gibisiniz	0.0	0
1	5	kahverengi   kare   gelmedi   beyaz   kare   yuvarlak   kahverengi   geldi   xiaomi   airfrey   kullanacağım	0.0	0
1	6	xiaomi   alt   airfryer   aldım   çok   güzel   oldu   kullanışlı   ürün   çok   hızlı   kargolandı	0.6545454545454544	1
1	7	güzel   paketleme   hızlı   teslimat   teşekkürler	0.4045454545454545	1
1	8	kare   sipariş   ettim   yuvarlak   göndermişsiniz	0.0	0
1	9	beyaz   kağıt   göndermişler   malzeme   kalitesi   çok   kötü   kalın   ayrıca   yerlerden   düzgün   kesilmediği   birbirine   yapışık   para   vermeye   değmez	-0.75	0
1	10	gerkcekteb   kare   sekilde   geldi   çok   ince   komple   yazlamama   rağmen   yapisiyor   ayıklayana   hiç   kullanmamsa   donuyor   pek   faydalı   bur   urun   değil	0.4236111111111111	1
1	11	kare   olanından   sipariş   verdim   yuvarlak   geldi   yuvarlak   istesem   sipariş   veririm   satıcı   çok   dikkatsiz	-1.0	0
1	12	ürün   fotoğrafıyla   alakasız   yuvarlak   ürün   geldi   paketleme   özensiz   i̇adeyle   uğraşmak   istemedim   muhtemelen   satıcı   kimsenin   iadeyle   uğraşmayacağını   düşündüğü   ürün   gönderiyor	-0.1875	0
1	13	ürün   köşeli   değil   yuvarlak   geldi   Hepsiburada   taahhüt   ettiği   ürünü   yollamayan   firmalara   kesinlikle   yaptırımda   bulunmalı	0.0	0
1	14	beyaz   geldi   ürün   zaman   oraya   beyaz   fotoğraf   koyunki   göre   alalım   yanıltmaca	-0.5	0
1	15	ürün   kalite   olarak   çok   düşük   tavsiye   etmiyorum   ürün   et   ve   ürünlerde   yapışma   yapmakta   önceki   farklı   markadan   aldııgm   airfryer   altlını   hız   yapılma   yapmamaktaydı	0.4821428571428572	1
1	16	6   litrelik   airfry   anca   zemini   kapattı   beyaz   kağıt   geldi   patates   denedim   güzelce   yağlamış   olmama   yapıştı	0.0	0
1	17	urun   elime   ulaşmadı   şikayet   talebi   oluşturmama   ulaştı   gözüküyor	-0.25	0
1	18	berbat   bi̇r   ürün   i̇landa   gözüktüğü   gi̇bi̇   kare   deği̇l   yuvarlak   olanlardan   geldi̇   pi̇şi̇rsem   yapişiyor   hi̇ç   bi̇r   i̇şe   yaramiyor   param   boşa   gi̇tti̇	0.0	0
1	19	çok   kullanışlı   makina   kirletmeden   yemek   yapabilir	-0.0735294117647059	0
1	20	kahverengi   geldi   fiyatına   göre   iyi   dayanıklı   olanlar   pahalı   gerek   yok   yetiyor   et   kızarınca   biraz   yapışıyor   onunda   biraz   yağlayarak   çözdüm	1.146825396825397	1
1	21	airfry   aldım   şaşırılmayacak   şekilde   airfry   kullanıyorum   biraz   ufak   ısıdan   büzülen   yapısı   hayatta   istediğimiz   olmuyor	-0.0625	0
1	22	airfrayer   xx   ürün   çok   küçük   boy   haberiniz   olsun   en   ufak   airfrayera   anca   olur   yanlarıyla   beraber   bizimkinin   sadece   altını   kapattı   standart   pişirme   kapısının   hazır   katlanmış   hali   uygun   cihaz   mükemmel   bu   çözüm   tavsiye   ederim   paketi   açmasaydım   iade   edecektim	1.4375	1
1	23	ürün   poşette   geldi   beyaz   renk   geldi   görseldeki   kahverengi   gelmedi   anlatıldığı   kabında   gelmedi   çok   ince   kullanmadım   umarım   sorun   çıkarmaz   amacına   hizmet   eder   boyutu   biraz   küçük   geldi   fri̇töz   phi̇li̇ps   ai̇rfryere	-0.6388888888888888	0
1	24	milföy   börek   pişirmeye   çalıştım   :)   ürünle   alttaki   hava   akışını   kapattığı   üstü   pişti   altları   pişmedi   normalde   çok   güzel   olurdu   hava   fritözü   birşey   serelim   içine   üründe   değil   sorun   kendime   kızdım   çok   güzel   sprey   yağ   çözücüler   alıp   seferinde   temizlemeye   karar   verdim   :(	0.3650432900432897	1
1	25	ürün   paket   almıştım   iki   paket   gönderilmiş   yanlışlık   oldu   hediye   mi   oldu   bilmiyorum   hata   varsa   geri   yollamak   gerekiyor   ulaşın   lütfen	-0.8257575757575757	0
1	26	kahve   rengi   yazıyor   beyaz   geliyor   bence   sorun   yok   fiyata   piyasada   yok   yağı   alta   geçirmiyor   kaliteli   mi   airfyer   3.5   tam   uyumlu   kova   şeklini   alıyor   kağıt   tavsiye   ederim	-0.8452380952380951	0
1	27	şekli   bozulmadan   zamanında   gönderildi   küçük   borcam   kek   kalıbım   aldım	0.0	0
