text,sentiment
güzel,0.292038405
yıldızlara aldanmayın görünmesi içindi özellikle sipariş ederken kontrol ettim kahverengi yazıyor beyaz olarak geldi kağıdı çok ince pakette düzleşerek geldi kullan at olduğundan iadeyle,0.58700467
ürün güzel paketlenmiş geldi ankara radon sati'cisinden satın aldım tek iyi paketleyen sarı olan satıcıdan de sert plastik kutusu geliyor xiaomi uyumlu beğendim,1.379061523
üstte olan yıldız veriyorum kare istedim yuvarlak gelmiş ufacık şaka gibisiniz,0.457387304
kahverengi kare gelmedi beyaz kare yuvarlak kahverengi geldi xiaomi airfrey kullanacağım,-0.44602892299999997
xiaomi alt airfryer aldım çok güzel oldu kullanışlı ürün çok hızlı kargolandı,0.8106144980000001
güzel paketleme hızlı teslimat teşekkürler,0.448792452
kare sipariş ettim yuvarlak göndermişsiniz,0.296737165
beyaz kağıt göndermişler malzeme kalitesi çok kötü kalın ayrıca yerlerden düzgün kesilmediği birbirine yapışık para vermeye değmez,-0.27919991499999997
gerkcekteb kare sekilde geldi çok ince komple yazlamama rağmen yapisiyor ayıklayana hiç kullanmamsa donuyor pek faydalı bur urun değil,0.5269627539999999
kare olanından sipariş verdim yuvarlak geldi yuvarlak istesem sipariş veririm satıcı çok dikkatsiz,0.459261616
ürün fotoğrafıyla alakasız yuvarlak ürün geldi paketleme özensiz i̇adeyle uğraşmak istemedim muhtemelen satıcı kimsenin iadeyle uğraşmayacağını düşündüğü ürün gönderiyor,-0.004188597999999988
ürün köşeli yuvarlak geldi Hepsiburada taahhüt ettiği ürünü yollamayan firmalara kesinlikle yaptırımda bulunmalı,0.246594525
beyaz geldi ürün zaman oraya beyaz fotoğraf koyunki göre alalım yanıltmaca,0.07395624499999999
ürün kalite olarak çok düşük tavsiye etmiyorum ürün et ve ürünlerde yapışma yapmakta önceki farklı markadan aldııgm airfryer altlını hız yapılma yapmamaktaydı,1.123453924
6 litrelik airfry anca zemini kapattı beyaz kağıt geldi patates denedim güzelce yağlamış olmama yapıştı,0.281607742
urun elime ulaşmadı şikayet talebi oluşturmama ulaştı gözüküyor,-0.15706965699999997
berbat bi̇r ürün i̇landa gözüktüğü gi̇bi̇ kare deği̇l yuvarlak olanlardan geldi̇ pi̇şi̇rsem yapişiyor hi̇ç bi̇r i̇şe yaramiyor param boşa gi̇tti̇,-0.373331604
çok kullanışlı makina kirletmeden yemek yapabilir,0.355672942
kahverengi geldi fiyatına göre iyi dayanıklı olanlar pahalı gerek yok yetiyor et kızarınca biraz yapışıyor onunda biraz yağlayarak çözdüm,0.033157351999999946
airfry aldım şaşırılmayacak şekilde airfry kullanıyorum biraz ufak ısıdan büzülen yapısı hayatta istediğimiz olmuyor,-0.257442775
airfrayer xx ürün çok küçük boy haberiniz olsun en ufak airfrayera anca olur yanlarıyla beraber bizimkinin sadece altını kapattı standart pişirme kapısının hazır katlanmış hali uygun cihaz mükemmel bu çözüm tavsiye ederim paketi açmasaydım iade edecektim,0.854153102
ürün poşette geldi beyaz renk geldi görseldeki kahverengi gelmedi anlatıldığı kabında gelmedi çok ince kullanmadım umarım sorun çıkarmaz amacına hizmet eder boyutu biraz küçük geldi fri̇töz phi̇li̇ps ai̇rfryere,0.233839798
milföy börek pişirmeye çalıştım :) ürünle alttaki hava akışını kapattığı üstü pişti altları pişmedi normalde çok güzel olurdu hava fritözü birşey serelim içine üründe sorun kendime kızdım çok güzel sprey yağ çözücüler alıp seferinde temizlemeye karar verdim :(,1.0600427700000001
ürün paket almıştım paket gönderilmiş yanlışlık oldu hediye oldu bilmiyorum hata varsa geri yollamak gerekiyor ulaşın lütfen,-0.7505849609999999
kahve rengi yazıyor beyaz geliyor bence sorun yok fiyata piyasada yok yağı alta geçirmiyor kaliteli airfyer 3.5 tam uyumlu kova şeklini alıyor kağıt tavsiye ederim,0.086295601
şekli bozulmadan zamanında gönderildi küçük borcam kek kalıbım aldım,0.05468083999999998
ürün kullanışlı kullanmıştım bittiği aldım airfryerın haznesi biraz temiz kalıyor pişirme süresini etkilemiyor bence yağlı kağıt bunlar lt'lik kullanıyorum satıcıya yuvarlak göndermeyin notu ilettiğim halde yuvarlak kesim göndermiş paket çok kötüydü kağıtları kırışık halde neyseki yırtılan olmamış derinliği gitmiş dümdüz olarak geldi satıcıdan almanızı tavsiye etmiyorum,0.223448107
merhabalar rengi krem rengi geldi pek yağlı kağıtlar ince 40 tiye aldım fiyat performans ürünü uyguna alabılırdım kargoyalama zamanında yapıldı be güzeldi,0.40464830399999996
tamanlamiyla fiyasko bildiğimiz ince fırın kağıdı resimle alakasiyok kare sipariş ettim oval göndermiş satıcı,-0.04175192200000002
umduğum çıkmadı gazete kağıdı,0.058284283
kullanmış olduğum bir fay uygun görseldeki geldi sadece biraz ezilmiş elimle düzeltince sorun olmadı,-0.421709628
korunaklı gelmediği bükülmüş dışında kullanışlı,-0.6428486819999999
ürün kargodan yamulmuş şekilde geldi kenarları uzun bekliyordum iş görür,0.520939461
kağıtlar güzel görselde kare şeklinde olduğu almıştım yuvarlak geldi değiştirmek uğraşmayacağım,0.333454052
yorumlara bakmadan aldım ayni firma diğer musterilerede yuvarlak gondermis şoseler acil kalıyor,-0.02999759999999997
ürün kargodan yamulmuş şekilde geldi kenarları uzun bekliyordum iş görür,0.520939461
rengi beyaz geldi denemedim,-0.003251184
kullanmadım,
philips airfryer aldım küçük geldi birdahaki sefere büyük kagirini alacağım,-0.01485681300000001
çok ince tek kullanımlık idare ediyor,0.367640866
kenar yüksekliği fazla olmalı pişirme süresini uzatıyor makine kirlenmiyor,-0.08797699300000002
